location_short	LocationAroundRing
YK	-4799.377
AB	-4548.435
TL	-4428.785
VB_vi	-4953.255
DV_vi	-4978.8257
ST_vi	-4980.496
AA	-3027.0164
NR	-2171.6177
SH	-2166.6306
OV	-1998.2416
SA	-1861.9487
KL	-1854.6711
TH	-1835.4099
SR	-1852.6334
PA	-1830.3971
SU	-1805.3759
NG	-1796.956
ML	-1774.6357
MN	-1747.3401
SP	-1743.0592
LN	-830.65106
GG	783.67084
EM	890.4163
XN	1481.7997
BJ	2480.1255
BK	4027.0176
AN	4134.3247
IL	4451.782
TA	4673.0283
UY	4581.0527
MB	4762.5186
VB	4943.3896
DV	4929.7676
ST	4913.1533
PR	4951.6626
SL	4982.0483
